q(A-1)	I(q)20230413_0_00026.edf{0}_circles_18_division_ExposureTime	Sig(q)20230413_0_00026.edf{0}_circles_18	2Theta(degrees)
0.00000	nan	nan	0.00000
0.00028	nan	nan	0.00396
0.00056	nan	nan	0.00791
0.00084	nan	nan	0.01187
0.00113	nan	nan	0.01583
0.00141	nan	nan	0.01978
0.00169	nan	nan	0.02374
0.00197	nan	nan	0.02770
0.00225	nan	nan	0.03165
0.00253	nan	nan	0.03561
0.00281	nan	nan	0.03957
0.00310	nan	nan	0.04352
0.00338	nan	nan	0.04748
0.00366	nan	nan	0.05144
0.00394	nan	nan	0.05539
0.00422	0.04917	20.07947	0.05935
0.00450	0.04484	3.05906	0.06331
0.00478	0.04102	1.62715	0.06726
0.00507	0.03740	1.26556	0.07122
0.00535	0.03537	1.18824	0.07518
0.00563	0.03284	1.11371	0.07913
0.00591	0.03083	1.05168	0.08309
0.00619	0.02813	0.97323	0.08705
0.00647	0.02708	0.93750	0.09100
0.00675	0.02591	0.89171	0.09496
0.00704	0.02406	0.85016	0.09892
0.00732	0.02346	0.83175	0.10287
0.00760	0.02258	0.80205	0.10683
0.00788	0.02227	0.79060	0.11079
0.00816	0.02155	0.76438	0.11474
0.00844	0.02098	0.74941	0.11870
0.00872	0.02081	0.73678	0.12266
0.00901	0.02010	0.71362	0.12661
0.00929	0.01947	0.69914	0.13057
0.00957	0.01899	0.67888	0.13453
0.00985	0.01872	0.67160	0.13848
0.01013	0.01862	0.65941	0.14244
0.01041	0.01772	0.63693	0.14640
0.01069	0.01803	0.63871	0.15035
0.01097	0.01804	0.62960	0.15431
0.01126	0.01724	0.61323	0.15827
0.01154	0.01719	0.60286	0.16222
0.01182	0.01687	0.59412	0.16618
0.01210	0.01690	0.59003	0.17014
0.01238	0.01626	0.57103	0.17409
0.01266	0.01568	0.55844	0.17805
0.01294	0.01563	0.55012	0.18201
0.01323	0.01556	0.54700	0.18597
0.01351	0.01575	0.54536	0.18992
0.01379	0.01526	0.53019	0.19388
0.01407	0.01513	0.52678	0.19784
0.01435	0.01511	0.51968	0.20179
0.01463	0.01479	0.51275	0.20575
0.01491	0.01463	0.50383	0.20971
0.01520	0.01465	0.50082	0.21366
0.01548	0.01418	0.49067	0.21762
0.01576	0.01411	0.48379	0.22157
0.01604	0.01405	0.48122	0.22553
0.01632	0.01369	0.46948	0.22949
0.01660	0.01331	0.46132	0.23344
0.01688	0.01338	0.45969	0.23740
0.01717	0.01309	0.45017	0.24136
0.01745	0.01265	0.44057	0.24531
0.01773	0.01246	0.43308	0.24927
0.01801	0.01266	0.43564	0.25323
0.01829	0.01222	0.42438	0.25718
0.01857	0.01201	0.41742	0.26114
0.01885	0.01166	0.40977	0.26510
0.01914	0.01152	0.40359	0.26905
0.01942	0.01171	0.40606	0.27301
0.01970	0.01140	0.39615	0.27697
0.01998	0.01122	0.39195	0.28092
0.02026	0.01100	0.38605	0.28488
0.02054	0.01073	0.37845	0.28884
0.02082	0.01074	0.37717	0.29279
0.02111	0.01029	0.36531	0.29675
0.02139	0.01021	0.36383	0.30071
0.02167	0.01013	0.35956	0.30466
0.02195	0.00998	0.35483	0.30862
0.02223	0.00994	0.35271	0.31258
0.02251	0.00954	0.34232	0.31653
0.02279	0.00926	0.33743	0.32049
