q(A-1)	I(q)20230413_0_00012.edf{0}_circles_16_division_ExposureTime	Sig(q)20230413_0_00012.edf{0}_circles_16	2Theta(degrees)
0.00000	nan	nan	0.00000
0.00028	nan	nan	0.00396
0.00056	nan	nan	0.00791
0.00084	nan	nan	0.01187
0.00113	nan	nan	0.01583
0.00141	nan	nan	0.01978
0.00169	nan	nan	0.02374
0.00197	nan	nan	0.02770
0.00225	nan	nan	0.03165
0.00253	nan	nan	0.03561
0.00281	nan	nan	0.03957
0.00310	nan	nan	0.04352
0.00338	nan	nan	0.04748
0.00366	nan	nan	0.05144
0.00394	nan	nan	0.05539
0.00422	0.04583	19.38687	0.05935
0.00450	0.04716	3.13704	0.06331
0.00478	0.04438	1.69233	0.06726
0.00507	0.03936	1.29841	0.07122
0.00535	0.03579	1.19526	0.07518
0.00563	0.03332	1.12178	0.07913
0.00591	0.03137	1.06087	0.08309
0.00619	0.02922	0.99196	0.08705
0.00647	0.02769	0.94799	0.09100
0.00675	0.02569	0.88795	0.09496
0.00704	0.02449	0.85769	0.09892
0.00732	0.02479	0.85497	0.10287
0.00760	0.02351	0.81830	0.10683
0.00788	0.02308	0.80487	0.11079
0.00816	0.02235	0.77843	0.11474
0.00844	0.02126	0.75446	0.11870
0.00872	0.02113	0.74231	0.12266
0.00901	0.02095	0.72856	0.12661
0.00929	0.02018	0.71179	0.13057
0.00957	0.01985	0.69399	0.13453
0.00985	0.01920	0.68022	0.13848
0.01013	0.01864	0.65978	0.14244
0.01041	0.01848	0.65052	0.14640
0.01069	0.01842	0.64573	0.15035
0.01097	0.01848	0.63726	0.15431
0.01126	0.01810	0.62827	0.15827
0.01154	0.01781	0.61362	0.16222
0.01182	0.01734	0.60237	0.16618
0.01210	0.01659	0.58470	0.17014
0.01238	0.01678	0.58010	0.17409
0.01266	0.01643	0.57174	0.17805
0.01294	0.01657	0.56652	0.18201
0.01323	0.01611	0.55667	0.18597
0.01351	0.01552	0.54149	0.18992
0.01379	0.01571	0.53781	0.19388
0.01407	0.01568	0.53620	0.19784
0.01435	0.01527	0.52240	0.20179
0.01463	0.01511	0.51837	0.20575
0.01491	0.01493	0.50885	0.20971
0.01520	0.01450	0.49835	0.21366
0.01548	0.01456	0.49737	0.21762
0.01576	0.01462	0.49247	0.22157
0.01604	0.01427	0.48490	0.22553
0.01632	0.01389	0.47289	0.22949
0.01660	0.01363	0.46685	0.23344
0.01688	0.01355	0.46263	0.23740
0.01717	0.01331	0.45404	0.24136
0.01745	0.01330	0.45167	0.24531
0.01773	0.01292	0.44112	0.24927
0.01801	0.01297	0.44081	0.25323
0.01829	0.01256	0.43022	0.25718
0.01857	0.01220	0.42070	0.26114
0.01885	0.01219	0.41912	0.26510
0.01914	0.01202	0.41232	0.26905
0.01942	0.01141	0.40093	0.27301
0.01970	0.01136	0.39545	0.27697
0.01998	0.01115	0.39070	0.28092
0.02026	0.01076	0.38184	0.28488
0.02054	0.01105	0.38400	0.28884
0.02082	0.01079	0.37799	0.29279
0.02111	0.01050	0.36898	0.29675
0.02139	0.01008	0.36153	0.30071
0.02167	0.01023	0.36140	0.30466
0.02195	0.01037	0.36167	0.30862
0.02223	0.01011	0.35575	0.31258
0.02251	0.00979	0.34688	0.31653
0.02279	0.00975	0.34614	0.32049
