q(A-1)	I(q)20230413_0_00022.edf{0}_circles_27_division_ExposureTime	Sig(q)20230413_0_00022.edf{0}_circles_27	2Theta(degrees)
0.00000	nan	nan	0.00000
0.00028	nan	nan	0.00396
0.00056	nan	nan	0.00791
0.00084	nan	nan	0.01187
0.00113	nan	nan	0.01583
0.00141	nan	nan	0.01978
0.00169	nan	nan	0.02374
0.00197	nan	nan	0.02770
0.00225	nan	nan	0.03165
0.00253	nan	nan	0.03561
0.00281	nan	nan	0.03957
0.00310	nan	nan	0.04352
0.00338	nan	nan	0.04748
0.00366	nan	nan	0.05144
0.00394	nan	nan	0.05539
0.00422	0.03028	15.75719	0.05935
0.00450	0.02426	2.25008	0.06331
0.00478	0.02053	1.15121	0.06726
0.00507	0.01854	0.89111	0.07122
0.00535	0.01563	0.78997	0.07518
0.00563	0.01229	0.68120	0.07913
0.00591	0.01076	0.62124	0.08309
0.00619	0.00891	0.54775	0.08705
0.00647	0.00791	0.50670	0.09100
0.00675	0.00693	0.46119	0.09496
0.00704	0.00588	0.42036	0.09892
0.00732	0.00515	0.38973	0.10287
0.00760	0.00445	0.35617	0.10683
0.00788	0.00404	0.33676	0.11079
0.00816	0.00345	0.30569	0.11474
0.00844	0.00313	0.28966	0.11870
0.00872	0.00287	0.27379	0.12266
0.00901	0.00258	0.25575	0.12661
0.00929	0.00243	0.24720	0.13057
0.00957	0.00224	0.23319	0.13453
0.00985	0.00206	0.22286	0.13848
0.01013	0.00170	0.19912	0.14244
0.01041	0.00168	0.19611	0.14640
0.01069	0.00160	0.19006	0.15035
0.01097	0.00145	0.17864	0.15431
0.01126	0.00143	0.17632	0.15827
0.01154	0.00132	0.16678	0.16222
0.01182	0.00128	0.16347	0.16618
0.01210	0.00107	0.14850	0.17014
0.01238	0.00092	0.13598	0.17409
0.01266	0.00088	0.13253	0.17805
0.01294	0.00087	0.12951	0.18201
0.01323	0.00075	0.12047	0.18597
0.01351	0.00085	0.12682	0.18992
0.01379	0.00080	0.12113	0.19388
0.01407	0.00064	0.10876	0.19784
0.01435	0.00066	0.10887	0.20179
0.01463	0.00067	0.10882	0.20575
0.01491	0.00064	0.10530	0.20971
0.01520	0.00061	0.10255	0.21366
0.01548	0.00051	0.09298	0.21762
0.01576	0.00050	0.09138	0.22157
0.01604	0.00052	0.09269	0.22553
0.01632	0.00055	0.09430	0.22949
0.01660	0.00050	0.08967	0.23344
0.01688	0.00040	0.07962	0.23740
0.01717	0.00042	0.08059	0.24136
0.01745	0.00042	0.08040	0.24531
0.01773	0.00045	0.08206	0.24927
0.01801	0.00045	0.08189	0.25323
0.01829	0.00042	0.07858	0.25718
0.01857	0.00045	0.08070	0.26114
0.01885	0.00035	0.07069	0.26510
0.01914	0.00037	0.07199	0.26905
0.01942	0.00032	0.06667	0.27301
0.01970	0.00030	0.06424	0.27697
0.01998	0.00034	0.06777	0.28092
0.02026	0.00031	0.06500	0.28488
0.02054	0.00031	0.06417	0.28884
0.02082	0.00029	0.06173	0.29279
0.02111	0.00028	0.06003	0.29675
0.02139	0.00028	0.06033	0.30071
0.02167	0.00029	0.06117	0.30466
0.02195	0.00024	0.05470	0.30862
0.02223	0.00024	0.05459	0.31258
0.02251	0.00027	0.05748	0.31653
0.02279	0.00023	0.05341	0.32049
