q(A-1)	I(q)20230413_0_00025.edf{0}_circles_25_division_ExposureTime	Sig(q)20230413_0_00025.edf{0}_circles_25	2Theta(degrees)
0.00000	nan	nan	0.00000
0.00028	nan	nan	0.00396
0.00056	nan	nan	0.00791
0.00084	nan	nan	0.01187
0.00113	nan	nan	0.01583
0.00141	nan	nan	0.01978
0.00169	nan	nan	0.02374
0.00197	nan	nan	0.02770
0.00225	nan	nan	0.03165
0.00253	nan	nan	0.03561
0.00281	nan	nan	0.03957
0.00310	nan	nan	0.04352
0.00338	nan	nan	0.04748
0.00366	nan	nan	0.05144
0.00394	nan	nan	0.05539
0.00422	0.02333	13.83265	0.05935
0.00450	0.02112	2.09951	0.06331
0.00478	0.02003	1.13697	0.06726
0.00507	0.01902	0.90266	0.07122
0.00535	0.01563	0.78977	0.07518
0.00563	0.01282	0.69582	0.07913
0.00591	0.01091	0.62574	0.08309
0.00619	0.00905	0.55218	0.08705
0.00647	0.00742	0.49063	0.09100
0.00675	0.00684	0.45820	0.09496
0.00704	0.00601	0.42486	0.09892
0.00732	0.00523	0.39268	0.10287
0.00760	0.00454	0.35965	0.10683
0.00788	0.00437	0.35027	0.11079
0.00816	0.00346	0.30650	0.11474
0.00844	0.00331	0.29789	0.11870
0.00872	0.00294	0.27670	0.12266
0.00901	0.00254	0.25387	0.12661
0.00929	0.00222	0.23583	0.13057
0.00957	0.00227	0.23487	0.13453
0.00985	0.00195	0.21688	0.13848
0.01013	0.00177	0.20310	0.14244
0.01041	0.00183	0.20446	0.14640
0.01069	0.00159	0.18943	0.15035
0.01097	0.00147	0.17996	0.15431
0.01126	0.00136	0.17225	0.15827
0.01154	0.00137	0.17023	0.16222
0.01182	0.00136	0.16888	0.16618
0.01210	0.00119	0.15655	0.17014
0.01238	0.00106	0.14604	0.17409
0.01266	0.00101	0.14170	0.17805
0.01294	0.00097	0.13711	0.18201
0.01323	0.00086	0.12840	0.18597
0.01351	0.00090	0.13045	0.18992
0.01379	0.00079	0.12061	0.19388
0.01407	0.00077	0.11909	0.19784
0.01435	0.00074	0.11504	0.20179
0.01463	0.00066	0.10835	0.20575
0.01491	0.00060	0.10196	0.20971
0.01520	0.00058	0.09962	0.21366
0.01548	0.00060	0.10081	0.21762
0.01576	0.00055	0.09577	0.22157
0.01604	0.00054	0.09450	0.22553
0.01632	0.00052	0.09177	0.22949
0.01660	0.00046	0.08582	0.23344
0.01688	0.00041	0.08063	0.23740
0.01717	0.00045	0.08323	0.24136
0.01745	0.00048	0.08613	0.24531
0.01773	0.00047	0.08384	0.24927
0.01801	0.00048	0.08484	0.25323
0.01829	0.00048	0.08376	0.25718
0.01857	0.00037	0.07282	0.26114
0.01885	0.00042	0.07789	0.26510
0.01914	0.00033	0.06836	0.26905
0.01942	0.00029	0.06430	0.27301
0.01970	0.00037	0.07124	0.27697
0.01998	0.00039	0.07311	0.28092
0.02026	0.00031	0.06520	0.28488
0.02054	0.00035	0.06798	0.28884
0.02082	0.00035	0.06824	0.29279
0.02111	0.00036	0.06799	0.29675
0.02139	0.00027	0.05895	0.30071
0.02167	0.00028	0.05938	0.30466
0.02195	0.00025	0.05662	0.30862
0.02223	0.00026	0.05692	0.31258
0.02251	0.00028	0.05879	0.31653
0.02279	0.00029	0.05935	0.32049
