q(A-1)	I(q)20230413_0_00009.edf{0}_circles_7_division_ExposureTime	Sig(q)20230413_0_00009.edf{0}_circles_7	2Theta(degrees)
0.00000	nan	nan	0.00000
0.00028	nan	nan	0.00396
0.00056	nan	nan	0.00791
0.00084	nan	nan	0.01187
0.00113	nan	nan	0.01583
0.00141	nan	nan	0.01978
0.00169	nan	nan	0.02374
0.00197	nan	nan	0.02770
0.00225	nan	nan	0.03165
0.00253	nan	nan	0.03561
0.00281	nan	nan	0.03957
0.00310	nan	nan	0.04352
0.00338	nan	nan	0.04748
0.00366	nan	nan	0.05144
0.00394	nan	nan	0.05539
0.00422	0.07500	14.31815	0.05935
0.00450	0.05610	1.97532	0.06331
0.00478	0.05025	1.03969	0.06726
0.00507	0.04956	0.84119	0.07122
0.00535	0.04604	0.78271	0.07518
0.00563	0.04384	0.74293	0.07913
0.00591	0.03934	0.68589	0.08309
0.00619	0.03654	0.64047	0.08705
0.00647	0.03396	0.60612	0.09100
0.00675	0.03139	0.56669	0.09496
0.00704	0.02910	0.53978	0.09892
0.00732	0.02870	0.53120	0.10287
0.00760	0.02835	0.51884	0.10683
0.00788	0.02899	0.52077	0.11079
0.00816	0.02785	0.50169	0.11474
0.00844	0.02755	0.49590	0.11870
0.00872	0.02785	0.49204	0.12266
0.00901	0.02534	0.46265	0.12661
0.00929	0.02444	0.45220	0.13057
0.00957	0.02373	0.43813	0.13453
0.00985	0.02218	0.42204	0.13848
0.01013	0.02254	0.41884	0.14244
0.01041	0.02158	0.40585	0.14640
0.01069	0.02111	0.39911	0.15035
0.01097	0.02089	0.39122	0.15431
0.01126	0.02110	0.39161	0.15827
0.01154	0.02100	0.38466	0.16222
0.01182	0.02039	0.37713	0.16618
0.01210	0.02021	0.37257	0.17014
0.01238	0.02021	0.36753	0.17409
0.01266	0.01936	0.35827	0.17805
0.01294	0.01866	0.34712	0.18201
0.01323	0.01874	0.34664	0.18597
0.01351	0.01840	0.34038	0.18992
0.01379	0.01776	0.33016	0.19388
0.01407	0.01698	0.32218	0.19784
0.01435	0.01689	0.31721	0.20179
0.01463	0.01679	0.31540	0.20575
0.01491	0.01614	0.30549	0.20971
0.01520	0.01586	0.30092	0.21366
0.01548	0.01569	0.29801	0.21762
0.01576	0.01477	0.28574	0.22157
0.01604	0.01474	0.28455	0.22553
0.01632	0.01423	0.27638	0.22949
0.01660	0.01377	0.27089	0.23344
0.01688	0.01436	0.27497	0.23740
0.01717	0.01421	0.27088	0.24136
0.01745	0.01325	0.26027	0.24531
0.01773	0.01330	0.25831	0.24927
0.01801	0.01294	0.25420	0.25323
0.01829	0.01223	0.24512	0.25718
0.01857	0.01217	0.24254	0.26114
0.01885	0.01150	0.23499	0.26510
0.01914	0.01168	0.23461	0.26905
0.01942	0.01134	0.23079	0.27301
0.01970	0.01119	0.22659	0.27697
0.01998	0.01143	0.22843	0.28092
0.02026	0.01099	0.22276	0.28488
0.02054	0.01053	0.21650	0.28884
0.02082	0.01012	0.21137	0.29279
0.02111	0.01024	0.21038	0.29675
0.02139	0.01028	0.21074	0.30071
0.02167	0.00966	0.20269	0.30466
0.02195	0.00906	0.19513	0.30862
0.02223	0.00925	0.19650	0.31258
0.02251	0.00866	0.18835	0.31653
0.02279	0.00864	0.18813	0.32049
