#####################################################################################################
# NeXus source file: integrado
# NXdata: name =  img#_0_#_circles_26
#
#
# Exposure_msec                                     1800000.0 + 0.0
# _diffrn_source.source                             Xenocs - Soleil
# _diffrn_sofware                                   Foxtrot 3.2.7 (2015-08-21 17:32:57)
# _diffrn_detector.detector                         not specified
# _diffrn_comment.comment                           _
# _sas_detc.pixnum_ax                               [487]
# _sas_detc.pixnum_eq                               [195]
# _sas_detc.pixsize                                 172.0
# _sas_detc.binning                                 1
# _sas_detc.center_ax                               9.0
# _sas_detc.center_eq                               184.0
# _sas_detc.dist_spec/detc                          2490.67
# _sas_detc.energy                                  nan
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.wave_length                             1.54189
# _sas_detc.bias                                    0
# _sas_detc.sector_width                            360.0
# _sas_detc.mask                                    C:\USUARIOS SAXS\INTERNOS\Agustin Picco\20230413\mask
# Normalization                                     false
# Normalization Factor                              1.0
# Normalization Monitor                             null
# Normalization Intensity                           1.0
#####################################################################################################
q(A-1)              I(q)20230413_0_00024.edf{0}_circles_26            Sig(q)20230413_0_00024.edf{0}_circles_26          2Theta(degrees)     
0.0                 nan                                               nan                                               0.0                 
0.000281409486013   nan                                               nan                                               0.00395671608868    
0.000562818969005   nan                                               nan                                               0.00791343213961    
0.000844228445959   nan                                               nan                                               0.0118701481151     
0.00112563791385    nan                                               nan                                               0.0158268639773     
0.00140704736967    nan                                               nan                                               0.0197835796886     
0.00168845681039    nan                                               nan                                               0.0237402952112     
0.00196986623299    nan                                               nan                                               0.0276970105074     
0.00225127563446    nan                                               nan                                               0.0316537255393     
0.00253268501176    nan                                               nan                                               0.0356104402694     
0.0028140943619     nan                                               nan                                               0.0395671546598     
0.00309550368183    nan                                               nan                                               0.0435238686729     
0.00337691296855    nan                                               nan                                               0.0474805822708     
0.00365832221904    nan                                               nan                                               0.0514372954158     
0.00393973143027    nan                                               nan                                               0.0553940080703     
0.00422114059923    104.000167391                                     21.7669360296                                     0.0593507201964     
0.00450254972289    98.8837629874                                     3.38578209574                                     0.0633074317564     
0.00478395879824    95.6268953919                                     1.85169558022                                     0.0672641427126     
0.00506536782226    94.7549689042                                     1.50153101438                                     0.0712208530272     
0.00534677679193    86.6360833105                                     1.38609602837                                     0.0751775626625     
0.00562818570422    77.4792954175                                     1.27499014228                                     0.0791342715808     
0.00590959455612    73.4714651449                                     1.21007684749                                     0.0830909797444     
0.00619100334462    67.4570221646                                     1.12337894294                                     0.0870476871154     
0.00647241206668    62.6732752317                                     1.06306823531                                     0.0910043936561     
0.00675382071929    59.8031957765                                     1.00984764097                                     0.0949610993289     
0.00703522929943    57.4826759784                                     0.979353789187                                    0.0989178040959     
0.00731663780409    55.2113539568                                     0.951107826352                                    0.102874507919      
0.00759804623023    51.763730062                                      0.905095329636                                    0.106831210762      
0.00787945457485    50.260865208                                      0.885213162075                                    0.110787912585      
0.00816086283492    47.7476703861                                     0.848050833749                                    0.114744613352      
0.00844227100743    46.9673571803                                     0.835849499928                                    0.118701313024      
0.00872367908934    45.5061946162                                     0.812007823617                                    0.122658011564      
0.00900508707765    44.8891885707                                     0.794897928834                                    0.126614708935      
0.00928649496934    43.3058028649                                     0.777184631028                                    0.130571405097      
0.00956790276138    41.7656725814                                     0.75033011835                                     0.134528100015      
0.00984931045076    41.3326734589                                     0.743828161332                                    0.138484793649      
0.0101307180344     39.6589912642                                     0.717304347451                                    0.142441485962      
0.0104121255094     39.8770590736                                     0.712259269751                                    0.146398176917      
0.0106935328727     39.6428788919                                     0.706001296907                                    0.150354866475      
0.0109749401212     38.6947517318                                     0.687306007392                                    0.1543115546        
0.011256347252      37.3177995967                                     0.672416086738                                    0.158268241252      
0.011537754262      35.6446830941                                     0.647036199324                                    0.162224926395      
0.0118191611482     35.6018985852                                     0.643334185769                                    0.166181609991      
0.0121005679075     34.6529272925                                     0.62978994815                                     0.170138292002      
0.012381974537      34.0663033956                                     0.616014593012                                    0.17409497239       
0.0126633810337     33.5204051913                                     0.608615643376                                    0.178051651117      
0.0129447873945     33.4806000823                                     0.600201374674                                    0.182008328146      
0.0132261936164     32.1661556784                                     0.586272214249                                    0.18596500344       
0.0135075996964     32.1789800706                                     0.581113806726                                    0.189921676959      
0.0137890056314     31.3872940384                                     0.566692117245                                    0.193878348668      
0.0140704114185     30.1102947485                                     0.553901004557                                    0.197835018527      
0.0143518170546     30.0118421924                                     0.545884132401                                    0.201791686499      
0.0146332225367     28.7280988453                                     0.532679720842                                    0.205748352546      
0.0149146278618     28.0467171915                                     0.519909520419                                    0.209705016631      
0.0151960330268     28.1329876665                                     0.517375351592                                    0.213661678716      
