q(A-1)	I(q)20230413_0_00018.edf{0}_circles_21_division_ExposureTime	Sig(q)20230413_0_00018.edf{0}_circles_21	2Theta(degrees)
0.00000	nan	nan	0.00000
0.00028	nan	nan	0.00396
0.00056	nan	nan	0.00791
0.00084	nan	nan	0.01187
0.00113	nan	nan	0.01583
0.00141	nan	nan	0.01978
0.00169	nan	nan	0.02374
0.00197	nan	nan	0.02770
0.00225	nan	nan	0.03165
0.00253	nan	nan	0.03561
0.00281	nan	nan	0.03957
0.00310	nan	nan	0.04352
0.00338	nan	nan	0.04748
0.00366	nan	nan	0.05144
0.00394	nan	nan	0.05539
0.00422	0.02472	14.23838	0.05935
0.00450	0.02448	2.26019	0.06331
0.00478	0.02214	1.19530	0.06726
0.00507	0.01982	0.92143	0.07122
0.00535	0.01771	0.84087	0.07518
0.00563	0.01477	0.74686	0.07913
0.00591	0.01265	0.67357	0.08309
0.00619	0.01065	0.59874	0.08705
0.00647	0.00991	0.56709	0.09100
0.00675	0.00869	0.51634	0.09496
0.00704	0.00775	0.48246	0.09892
0.00732	0.00718	0.46025	0.10287
0.00760	0.00649	0.42991	0.10683
0.00788	0.00583	0.40441	0.11079
0.00816	0.00510	0.37200	0.11474
0.00844	0.00491	0.36242	0.11870
0.00872	0.00454	0.34410	0.12266
0.00901	0.00420	0.32639	0.12661
0.00929	0.00382	0.30982	0.13057
0.00957	0.00359	0.29533	0.13453
0.00985	0.00325	0.27982	0.13848
0.01013	0.00307	0.26757	0.14244
0.01041	0.00302	0.26298	0.14640
0.01069	0.00272	0.24831	0.15035
0.01097	0.00270	0.24348	0.15431
0.01126	0.00230	0.22380	0.15827
0.01154	0.00239	0.22474	0.16222
0.01182	0.00224	0.21627	0.16618
0.01210	0.00222	0.21402	0.17014
0.01238	0.00215	0.20778	0.17409
0.01266	0.00201	0.19982	0.17805
0.01294	0.00179	0.18637	0.18201
0.01323	0.00172	0.18208	0.18597
0.01351	0.00160	0.17395	0.18992
0.01379	0.00154	0.16853	0.19388
0.01407	0.00174	0.17871	0.19784
0.01435	0.00163	0.17094	0.20179
0.01463	0.00163	0.17010	0.20575
0.01491	0.00149	0.16102	0.20971
0.01520	0.00143	0.15657	0.21366
0.01548	0.00139	0.15376	0.21762
0.01576	0.00140	0.15257	0.22157
0.01604	0.00129	0.14589	0.22553
0.01632	0.00127	0.14298	0.22949
0.01660	0.00113	0.13423	0.23344
0.01688	0.00111	0.13254	0.23740
0.01717	0.00111	0.13095	0.24136
0.01745	0.00116	0.13363	0.24531
0.01773	0.00115	0.13169	0.24927
0.01801	0.00108	0.12749	0.25323
0.01829	0.00113	0.12878	0.25718
0.01857	0.00104	0.12272	0.26114
0.01885	0.00099	0.11951	0.26510
0.01914	0.00098	0.11788	0.26905
0.01942	0.00105	0.12143	0.27301
0.01970	0.00095	0.11409	0.27697
0.01998	0.00086	0.10834	0.28092
0.02026	0.00097	0.11446	0.28488
0.02054	0.00087	0.10754	0.28884
0.02082	0.00087	0.10760	0.29279
0.02111	0.00086	0.10565	0.29675
0.02139	0.00082	0.10303	0.30071
0.02167	0.00079	0.10032	0.30466
0.02195	0.00083	0.10231	0.30862
0.02223	0.00075	0.09698	0.31258
0.02251	0.00074	0.09556	0.31653
0.02279	0.00075	0.09590	0.32049
