q(A-1)	I(q)20230413_0_00010.edf{0}_circles_6_division_ExposureTime	Sig(q)20230413_0_00010.edf{0}_circles_6	2Theta(degrees)
0.00000	nan	nan	0.00000
0.00028	nan	nan	0.00396
0.00056	nan	nan	0.00791
0.00084	nan	nan	0.01187
0.00113	nan	nan	0.01583
0.00141	nan	nan	0.01978
0.00169	nan	nan	0.02374
0.00197	nan	nan	0.02770
0.00225	nan	nan	0.03165
0.00253	nan	nan	0.03561
0.00281	nan	nan	0.03957
0.00310	nan	nan	0.04352
0.00338	nan	nan	0.04748
0.00366	nan	nan	0.05144
0.00394	nan	nan	0.05539
0.00422	0.05972	22.13018	0.05935
0.00450	0.05705	3.45035	0.06331
0.00478	0.05443	1.87426	0.06726
0.00507	0.05044	1.46987	0.07122
0.00535	0.04446	1.33217	0.07518
0.00563	0.04111	1.24609	0.07913
0.00591	0.03799	1.16747	0.08309
0.00619	0.03527	1.08984	0.08705
0.00647	0.03396	1.04991	0.09100
0.00675	0.03305	1.00716	0.09496
0.00704	0.03143	0.97158	0.09892
0.00732	0.02986	0.93845	0.10287
0.00760	0.02882	0.90600	0.10683
0.00788	0.02785	0.88407	0.11079
0.00816	0.02672	0.85107	0.11474
0.00844	0.02622	0.83781	0.11870
0.00872	0.02562	0.81750	0.12266
0.00901	0.02504	0.79654	0.12661
0.00929	0.02445	0.78346	0.13057
0.00957	0.02338	0.75320	0.13453
0.00985	0.02332	0.74959	0.13848
0.01013	0.02311	0.73464	0.14244
0.01041	0.02192	0.70853	0.14640
0.01069	0.02158	0.69879	0.15035
0.01097	0.02129	0.68395	0.15431
0.01126	0.02107	0.67784	0.15827
0.01154	0.02091	0.66486	0.16222
0.01182	0.02032	0.65211	0.16618
0.01210	0.01963	0.63588	0.17014
0.01238	0.01959	0.62666	0.17409
0.01266	0.01922	0.61833	0.17805
0.01294	0.01862	0.60048	0.18201
0.01323	0.01816	0.59097	0.18597
0.01351	0.01804	0.58374	0.18992
0.01379	0.01735	0.56525	0.19388
0.01407	0.01695	0.55762	0.19784
0.01435	0.01685	0.54879	0.20179
0.01463	0.01663	0.54372	0.20575
0.01491	0.01575	0.52268	0.20971
0.01520	0.01575	0.51938	0.21366
0.01548	0.01546	0.51242	0.21762
0.01576	0.01549	0.50687	0.22157
0.01604	0.01494	0.49627	0.22553
0.01632	0.01432	0.48026	0.22949
0.01660	0.01404	0.47388	0.23344
0.01688	0.01391	0.46873	0.23740
0.01717	0.01364	0.45963	0.24136
0.01745	0.01359	0.45651	0.24531
0.01773	0.01339	0.44905	0.24927
0.01801	0.01314	0.44373	0.25323
0.01829	0.01287	0.43550	0.25718
0.01857	0.01239	0.42395	0.26114
0.01885	0.01201	0.41599	0.26510
0.01914	0.01150	0.40322	0.26905
0.01942	0.01123	0.39772	0.27301
0.01970	0.01089	0.38707	0.27697
0.01998	0.01088	0.38587	0.28092
0.02026	0.01066	0.38008	0.28488
0.02054	0.01059	0.37605	0.28884
0.02082	0.01015	0.36667	0.29279
0.02111	0.00990	0.35835	0.29675
0.02139	0.00961	0.35305	0.30071
0.02167	0.00983	0.35414	0.30466
0.02195	0.00917	0.34001	0.30862
0.02223	0.00859	0.32795	0.31258
0.02251	0.00864	0.32591	0.31653
0.02279	0.00849	0.32308	0.32049
