q(A-1)	I(q)20230413_0_00004.edf{0}_circles_12_division_ExposureTime	Sig(q)20230413_0_00004.edf{0}_circles_12	2Theta(degrees)
0.00000	nan	nan	0.00000
0.00028	nan	nan	0.00396
0.00056	nan	nan	0.00791
0.00084	nan	nan	0.01187
0.00113	nan	nan	0.01583
0.00141	nan	nan	0.01978
0.00169	nan	nan	0.02374
0.00197	nan	nan	0.02770
0.00225	nan	nan	0.03165
0.00253	nan	nan	0.03561
0.00281	nan	nan	0.03957
0.00310	nan	nan	0.04352
0.00338	nan	nan	0.04748
0.00366	nan	nan	0.05144
0.00394	nan	nan	0.05539
0.00422	nan	nan	0.05935
0.00450	nan	nan	0.06331
0.00478	nan	nan	0.06726
0.00507	nan	nan	0.07122
0.00535	nan	nan	0.07518
0.00563	nan	nan	0.07913
0.00591	nan	nan	0.08309
0.00619	44.66363	5.97326	0.08705
0.00647	42.75098	2.24318	0.09100
0.00675	48.45981	1.77811	0.09496
0.00704	199.29876	2.70099	0.09892
0.00732	82.13619	1.41779	0.10287
0.00760	20.27835	0.63964	0.10683
0.00788	6.21796	0.35012	0.11079
0.00816	2.41124	0.21313	0.11474
0.00844	1.51153	0.16764	0.11870
0.00872	1.24623	0.14939	0.12266
0.00901	0.93787	0.12757	0.12661
0.00929	0.91737	0.12520	0.13057
0.00957	0.82323	0.11630	0.13453
0.00985	0.84649	0.11719	0.13848
0.01013	0.78585	0.11082	0.14244
0.01041	0.71867	0.10501	0.14640
0.01069	0.71656	0.10388	0.15035
0.01097	0.64158	0.09662	0.15431
0.01126	0.56154	0.08993	0.15827
0.01154	0.49407	0.08279	0.16222
0.01182	0.58996	0.09006	0.16618
0.01210	0.53177	0.08455	0.17014
0.01238	0.52641	0.08291	0.17409
0.01266	0.47174	0.07809	0.17805
0.01294	0.47205	0.07691	0.18201
0.01323	0.45575	0.07527	0.18597
0.01351	0.40433	0.06995	0.18992
0.01379	0.34457	0.06396	0.19388
0.01407	0.30426	0.05974	0.19784
0.01435	0.37986	0.06588	0.20179
0.01463	0.26519	0.05482	0.20575
0.01491	0.31908	0.05926	0.20971
0.01520	0.33016	0.06000	0.21366
0.01548	0.26673	0.05349	0.21762
0.01576	0.25508	0.05174	0.22157
0.01604	0.31057	0.05680	0.22553
0.01632	0.22261	0.04748	0.22949
0.01660	0.11676	0.03430	0.23344
0.01688	0.21938	0.04652	0.23740
0.01717	0.29227	0.05327	0.24136
0.01745	0.23484	0.04747	0.24531
0.01773	0.27861	0.05115	0.24927
0.01801	0.30763	0.05364	0.25323
0.01829	0.21603	0.04437	0.25718
0.01857	0.19324	0.04178	0.26114
0.01885	0.18455	0.04058	0.26510
0.01914	0.25739	0.04748	0.26905
0.01942	0.21937	0.04372	0.27301
0.01970	0.14882	0.03553	0.27697
0.01998	0.15485	0.03621	0.28092
0.02026	0.14913	0.03524	0.28488
0.02054	0.14719	0.03473	0.28884
0.02082	0.17230	0.03747	0.29279
0.02111	0.18083	0.03791	0.29675
0.02139	0.20758	0.04065	0.30071
0.02167	0.18166	0.03764	0.30466
0.02195	0.16883	0.03607	0.30862
0.02223	0.18763	0.03788	0.31258
0.02251	0.15821	0.03444	0.31653
0.02279	0.16039	0.03468	0.32049
0.02308	0.13376	0.03129	0.32445
