#####################################################################################################
# NeXus source file: integrado
# NXdata: name =   img#_0_#_circles_5
#
#
# Exposure_msec                                     1800000.0 + 0.0
# _diffrn_source.source                             Xenocs - Soleil
# _diffrn_sofware                                   Foxtrot 3.2.7 (2015-08-21 17:32:57)
# _diffrn_detector.detector                         not specified
# _diffrn_comment.comment                           _
# _sas_detc.pixnum_ax                               [487]
# _sas_detc.pixnum_eq                               [195]
# _sas_detc.pixsize                                 172.0
# _sas_detc.binning                                 1
# _sas_detc.center_ax                               9.0
# _sas_detc.center_eq                               184.0
# _sas_detc.dist_spec/detc                          2490.67
# _sas_detc.energy                                  nan
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.wave_length                             1.5419
# _sas_detc.bias                                    0
# _sas_detc.sector_width                            360.0
# _sas_detc.mask                                    C:\USUARIOS SAXS\INTERNOS\Agustin Picco\20230413\mask
# Normalization                                     false
# Normalization Factor                              1.0
# Normalization Monitor                             null
# Normalization Intensity                           1.0
#####################################################################################################
q(A-1)              I(q)20230413_0_00011.edf{0}_circles_5   Sig(q)20230413_0_00011.edf{0}_circles_5 2Theta(degrees)     
0.0                 nan                                     nan                                     0.0                 
0.00028140766093    nan                                     nan                                     0.00395671608868    
0.00056281531884    nan                                     nan                                     0.00791343213961    
0.000844222970712   nan                                     nan                                     0.0118701481151     
0.00112563061352    nan                                     nan                                     0.0158268639773     
0.00140703824426    nan                                     nan                                     0.0197835796886     
0.0016884458599     nan                                     nan                                     0.0237402952112     
0.00196985345741    nan                                     nan                                     0.0276970105074     
0.0022512610338     nan                                     nan                                     0.0316537255393     
0.00253266858602    nan                                     nan                                     0.0356104402694     
0.00281407611107    nan                                     nan                                     0.0395671546598     
0.00309548360593    nan                                     nan                                     0.0435238686729     
0.00337689106757    nan                                     nan                                     0.0474805822708     
0.00365829849297    nan                                     nan                                     0.0514372954158     
0.00393970587912    nan                                     nan                                     0.0553940080703     
0.004221113223      47.0000756478                           14.6328715482                           0.0593507201964     
0.00450252052158    38.7013413743                           2.11816369717                           0.0633074317564     
0.00478392777185    35.2906488886                           1.12488825865                           0.0672641427126     
0.00506533497079    31.6665527598                           0.868027940203                          0.0712208530272     
0.00534674211538    26.6364853088                           0.768568133139                          0.0751775626625     
0.00562814920259    21.853957616                            0.677140896051                          0.0791342715808     
0.00590955622942    18.7741370191                           0.61169311597                           0.0830909797444     
0.00619096319283    15.9654197948                           0.546515982797                          0.0870476871154     
0.00647237008982    13.2854698895                           0.48945008217                           0.0910043936561     
0.00675377691735    11.8140080152                           0.448840760558                          0.0949610993289     
0.00703518367242    9.48853759062                           0.397897087685                          0.0989178040959     
0.007316590352      8.92335247175                           0.382366275317                          0.102874507919      
0.00759799695307    7.89150976046                           0.353395968663                          0.106831210762      
0.00787940347261    6.73393328241                           0.324016619866                          0.110787912585      
0.00816080990761    6.5766731173                            0.314737811109                          0.114744613352      
0.00844221625504    5.80259839694                           0.293792890512                          0.118701313024      
0.00872362251188    4.81746691221                           0.264200919019                          0.122658011564      
0.00900502867512    4.43924023646                           0.249973984041                          0.126614708935      
0.00928643474173    4.12040172995                           0.23972920043                           0.130571405097      
0.0095678407087     3.95212864437                           0.230811889363                          0.134528100015      
0.00984924657301    3.72142808143                           0.22319305845                           0.138484793649      
0.0101306523316     3.40360242411                           0.210136765597                          0.142441485962      
0.0104120579815     2.79248916969                           0.18848304876                           0.146398176917      
0.0106934635197     2.66860230878                           0.18317442406                           0.150354866475      
0.0109748689432     2.44748484289                           0.172855862343                          0.1543115546        
0.0112562742489     2.10995783092                           0.159888404446                          0.158268241252      
0.0115376794338     2.13507848607                           0.158357312186                          0.162224926395      
0.0118190844949     2.04893394244                           0.154334858772                          0.166181609991      
0.0121004894292     1.80371489522                           0.143684429162                          0.170138292002      
0.0123818942337     1.5519785062                            0.131483527385                          0.17409497239       
0.0126632989053     1.42961063137                           0.125689027414                          0.178051651117      
0.012944703441      1.53710631664                           0.128603362146                          0.182008328146      
0.0132261078378     1.49907282809                           0.126564264052                          0.18596500344       
0.0135075120927     1.29298174231                           0.116485334948                          0.189921676959      
0.0137889162027     1.08444183944                           0.105335161664                          0.193878348668      
0.0140703201647     1.20906219599                           0.110993863959                          0.197835018527      
0.0143517239758     1.1998955342                            0.10915053329                           0.201791686499      
0.0146331276328     1.14852937181                           0.106508378582                          0.205748352546      
0.0149145311329     1.03083078488                           0.0996736684199                         0.209705016631      
0.0151959344729     0.982053996903                          0.09666416202                           0.213661678716      
0.0154773376499     0.895919844793                          0.0919436487361                         0.217618338764      
0.0157587406607     0.916769945202                          0.0919095853962                         0.221574996735      
0.0160401435025     0.933044196587                          0.0924232526325                         0.225531652593      
0.0163215461722     0.847727104446                          0.0870857789461                         0.229488306301      
0.0166029486668     0.78387095651                           0.0834497492022                         0.233444957819      
0.0168843509832     0.730346548532                          0.0800637931804                         0.237401607111      
0.0171657531185     0.693553480108                          0.0772475576971                         0.241358254139      
0.0174471550695     0.694712416378                          0.0769454907523                         0.245314898864      
0.0177285568334     0.62452510086                           0.0722749624988                         0.24927154125       
0.018009958407      0.723028493253                          0.0775881477762                         0.253228181259      
0.0182913597874     0.674723711422                          0.0743252282395                         0.257184818852      
0.0185727609715     0.663873329211                          0.0731445465338                         0.261141453993      
0.0188541619564     0.667790836829                          0.0731085626384                         0.265098086642      
0.0191355627389     0.726311721348                          0.0755422413703                         0.269054716764      
0.0194169633161     0.539011676474                          0.0649474712122                         0.273011344319      
0.019698363685      0.518666306667                          0.062975740704                          0.27696796927       
0.0199797638426     0.529249508175                          0.0634455790069                         0.28092459158       
0.0202611637857     0.55626994489                           0.0647012282469                         0.28488121121       
0.0205425635115     0.513392604551                          0.0617024222231                         0.288837828123      
0.0208239630168     0.55764646317                           0.0640590476772                         0.292794442282      
0.0211053622987     0.5331080882                            0.0619811909611                         0.296751053648      
0.0213867613542     0.48053581464                           0.0588315519201                         0.300707662183      
0.0216681601801     0.481608450443                          0.0584388693275                         0.304664267851      
0.0219495587736     0.477076555061                          0.0578202751322                         0.308620870613      
0.0222309571316     0.538070131844                          0.061180213813                          0.312577470432      
0.022512355251      0.446355902887                          0.0551979852917                         0.316534067269      
0.0227937531289     0.451980214528                          0.0555515977462                         0.320490661087      
0.0230751507623     0.409468822596                          0.0523702878411                         0.324447251849      
0.023356548148      0.521048974837                          0.0588303276014                         0.328403839516      
0.0236379452831     0.41139509019                           0.0521082206687                         0.332360424052      
0.0239193421647     0.400995514118                          0.0510077731131                         0.336317005417      
0.0242007387895     0.448251766172                          0.0539338999102                         0.340273583575      
0.0244821351547     0.398119741141                          0.0502161322429                         0.344230158487      
0.0247635312573     0.427198420245                          0.0520039380777                         0.348186730116      
0.0250449270941     0.419964168055                          0.0513102316047                         0.352143298425      
0.0253263226622     0.438010488962                          0.0520496878365                         0.356099863375      
