q(A-1)	I(q)20230413_0_00013.edf{0}_circles_24_division_ExposureTime	Sig(q)20230413_0_00013.edf{0}_circles_24	2Theta(degrees)
0.00000	nan	nan	0.00000
0.00028	nan	nan	0.00396
0.00056	nan	nan	0.00791
0.00084	nan	nan	0.01187
0.00113	nan	nan	0.01583
0.00141	nan	nan	0.01978
0.00169	nan	nan	0.02374
0.00197	nan	nan	0.02770
0.00225	nan	nan	0.03165
0.00253	nan	nan	0.03561
0.00281	nan	nan	0.03957
0.00310	nan	nan	0.04352
0.00338	nan	nan	0.04748
0.00366	nan	nan	0.05144
0.00394	nan	nan	0.05539
0.00422	1.86167	50.44199	0.05935
0.00450	1.68090	7.64588	0.06331
0.00478	1.44174	3.93808	0.06726
0.00507	1.19879	2.92527	0.07122
0.00535	0.97697	2.54944	0.07518
0.00563	0.79217	2.23298	0.07913
0.00591	0.66547	1.99471	0.08309
0.00619	0.56105	1.77450	0.08705
0.00647	0.47204	1.59798	0.09100
0.00675	0.40739	1.44365	0.09496
0.00704	0.34354	1.31135	0.09892
0.00732	0.29080	1.19557	0.10287
0.00760	0.24807	1.08524	0.10683
0.00788	0.22242	1.01995	0.11079
0.00816	0.19646	0.94221	0.11474
0.00844	0.17548	0.88491	0.11870
0.00872	0.15138	0.81119	0.12266
0.00901	0.13263	0.74837	0.12661
0.00929	0.11878	0.70500	0.13057
0.00957	0.10809	0.66115	0.13453
0.00985	0.09894	0.63033	0.13848
0.01013	0.08748	0.58350	0.14244
0.01041	0.07875	0.54822	0.14640
0.01069	0.07356	0.52676	0.15035
0.01097	0.06535	0.48922	0.15431
0.01126	0.05994	0.46678	0.15827
0.01154	0.05505	0.44041	0.16222
0.01182	0.04840	0.41083	0.16618
0.01210	0.04445	0.39067	0.17014
0.01238	0.04235	0.37620	0.17409
0.01266	0.03848	0.35716	0.17805
0.01294	0.03442	0.33333	0.18201
0.01323	0.03170	0.31877	0.18597
0.01351	0.03057	0.31023	0.18992
0.01379	0.02839	0.29520	0.19388
0.01407	0.02637	0.28390	0.19784
0.01435	0.02523	0.27415	0.20179
0.01463	0.02331	0.26281	0.20575
0.01491	0.02166	0.25024	0.20971
0.01520	0.01984	0.23798	0.21366
0.01548	0.01848	0.22874	0.21762
0.01576	0.01783	0.22201	0.22157
0.01604	0.01784	0.22137	0.22553
0.01632	0.01533	0.20283	0.22949
0.01660	0.01377	0.19155	0.23344
0.01688	0.01374	0.19022	0.23740
0.01717	0.01225	0.17779	0.24136
0.01745	0.01140	0.17076	0.24531
0.01773	0.01161	0.17065	0.24927
0.01801	0.01116	0.16698	0.25323
0.01829	0.01026	0.15873	0.25718
0.01857	0.01001	0.15560	0.26114
0.01885	0.00950	0.15103	0.26510
0.01914	0.00873	0.14348	0.26905
0.01942	0.00799	0.13700	0.27301
0.01970	0.00757	0.13177	0.27697
0.01998	0.00745	0.13040	0.28092
0.02026	0.00774	0.13216	0.28488
0.02054	0.00652	0.12048	0.28884
0.02082	0.00615	0.11656	0.29279
0.02111	0.00618	0.11559	0.29675
0.02139	0.00643	0.11786	0.30071
0.02167	0.00621	0.11494	0.30466
0.02195	0.00586	0.11104	0.30862
0.02223	0.00476	0.09966	0.31258
0.02251	0.00460	0.09707	0.31653
0.02279	0.00444	0.09538	0.32049
