q(A-1)	I(q)20230413_0_00014.edf{0}_circles_31_division_ExposureTime	Sig(q)20230413_0_00014.edf{0}_circles_31	2Theta(degrees)
0.00000	nan	nan	0.00000
0.00028	nan	nan	0.00396
0.00056	nan	nan	0.00791
0.00084	nan	nan	0.01187
0.00113	nan	nan	0.01583
0.00141	nan	nan	0.01978
0.00169	nan	nan	0.02374
0.00197	nan	nan	0.02770
0.00225	nan	nan	0.03165
0.00253	nan	nan	0.03561
0.00281	nan	nan	0.03957
0.00310	nan	nan	0.04352
0.00338	nan	nan	0.04748
0.00366	nan	nan	0.05144
0.00394	nan	nan	0.05539
0.00422	0.03806	17.66550	0.05935
0.00450	0.04031	2.90025	0.06331
0.00478	0.03851	1.57647	0.06726
0.00507	0.03560	1.23480	0.07122
0.00535	0.03245	1.13820	0.07518
0.00563	0.02990	1.06270	0.07913
0.00591	0.02626	0.97065	0.08309
0.00619	0.02412	0.90128	0.08705
0.00647	0.02335	0.87047	0.09100
0.00675	0.02201	0.82202	0.09496
0.00704	0.02076	0.78959	0.09892
0.00732	0.02007	0.76942	0.10287
0.00760	0.01910	0.73764	0.10683
0.00788	0.01850	0.72059	0.11079
0.00816	0.01805	0.69957	0.11474
0.00844	0.01696	0.67396	0.11870
0.00872	0.01645	0.65500	0.12266
0.00901	0.01604	0.63757	0.12661
0.00929	0.01569	0.62756	0.13057
0.00957	0.01490	0.60126	0.13453
0.00985	0.01482	0.59749	0.13848
0.01013	0.01449	0.58161	0.14244
0.01041	0.01393	0.56472	0.14640
0.01069	0.01321	0.54682	0.15035
0.01097	0.01312	0.53701	0.15431
0.01126	0.01245	0.52102	0.15827
0.01154	0.01225	0.50886	0.16222
0.01182	0.01190	0.49895	0.16618
0.01210	0.01154	0.48767	0.17014
0.01238	0.01150	0.48024	0.17409
0.01266	0.01160	0.48041	0.17805
0.01294	0.01148	0.47162	0.18201
0.01323	0.01049	0.44910	0.18597
0.01351	0.01008	0.43638	0.18992
0.01379	0.01033	0.43610	0.19388
0.01407	0.00996	0.42743	0.19784
0.01435	0.00982	0.41888	0.20179
0.01463	0.00981	0.41753	0.20575
0.01491	0.00967	0.40964	0.20971
0.01520	0.00895	0.39142	0.21366
0.01548	0.00854	0.38090	0.21762
0.01576	0.00872	0.38039	0.22157
0.01604	0.00845	0.37316	0.22553
0.01632	0.00830	0.36565	0.22949
0.01660	0.00821	0.36226	0.23344
0.01688	0.00815	0.35892	0.23740
0.01717	0.00762	0.34353	0.24136
0.01745	0.00745	0.33798	0.24531
0.01773	0.00730	0.33161	0.24927
0.01801	0.00714	0.32702	0.25323
0.01829	0.00690	0.31883	0.25718
0.01857	0.00689	0.31613	0.26114
0.01885	0.00678	0.31247	0.26510
0.01914	0.00660	0.30556	0.26905
0.01942	0.00633	0.29851	0.27301
0.01970	0.00621	0.29245	0.27697
0.01998	0.00629	0.29341	0.28092
0.02026	0.00611	0.28775	0.28488
0.02054	0.00583	0.27899	0.28884
0.02082	0.00576	0.27630	0.29279
0.02111	0.00572	0.27245	0.29675
0.02139	0.00548	0.26646	0.30071
0.02167	0.00545	0.26380	0.30466
0.02195	0.00534	0.25944	0.30862
0.02223	0.00519	0.25493	0.31258
0.02251	0.00520	0.25278	0.31653
0.02279	0.00483	0.24368	0.32049
