q(A-1)	I(q)20230413_0_00021.edf{0}_circles_28_division_ExposureTime	Sig(q)20230413_0_00021.edf{0}_circles_28	2Theta(degrees)
0.00000	nan	nan	0.00000
0.00028	nan	nan	0.00396
0.00056	nan	nan	0.00791
0.00084	nan	nan	0.01187
0.00113	nan	nan	0.01583
0.00141	nan	nan	0.01978
0.00169	nan	nan	0.02374
0.00197	nan	nan	0.02770
0.00225	nan	nan	0.03165
0.00253	nan	nan	0.03561
0.00281	nan	nan	0.03957
0.00310	nan	nan	0.04352
0.00338	nan	nan	0.04748
0.00366	nan	nan	0.05144
0.00394	nan	nan	0.05539
0.00422	0.02833	15.24283	0.05935
0.00450	0.02621	2.33884	0.06331
0.00478	0.02525	1.27661	0.06726
0.00507	0.02376	1.00876	0.07122
0.00535	0.01951	0.88241	0.07518
0.00563	0.01603	0.77817	0.07913
0.00591	0.01389	0.70600	0.08309
0.00619	0.01200	0.63578	0.08705
0.00647	0.01046	0.58257	0.09100
0.00675	0.00861	0.51423	0.09496
0.00704	0.00778	0.48329	0.09892
0.00732	0.00649	0.43742	0.10287
0.00760	0.00558	0.39853	0.10683
0.00788	0.00547	0.39168	0.11079
0.00816	0.00463	0.35418	0.11474
0.00844	0.00427	0.33824	0.11870
0.00872	0.00389	0.31860	0.12266
0.00901	0.00337	0.29223	0.12661
0.00929	0.00303	0.27565	0.13057
0.00957	0.00272	0.25684	0.13453
0.00985	0.00234	0.23743	0.13848
0.01013	0.00215	0.22419	0.14244
0.01041	0.00191	0.20936	0.14640
0.01069	0.00188	0.20637	0.15035
0.01097	0.00176	0.19689	0.15431
0.01126	0.00162	0.18823	0.15827
0.01154	0.00153	0.18007	0.16222
0.01182	0.00136	0.16898	0.16618
0.01210	0.00132	0.16492	0.17014
0.01238	0.00137	0.16602	0.17409
0.01266	0.00126	0.15801	0.17805
0.01294	0.00114	0.14854	0.18201
0.01323	0.00109	0.14482	0.18597
0.01351	0.00107	0.14238	0.18992
0.01379	0.00096	0.13309	0.19388
0.01407	0.00088	0.12679	0.19784
0.01435	0.00083	0.12157	0.20179
0.01463	0.00076	0.11658	0.20575
0.01491	0.00076	0.11469	0.20971
0.01520	0.00068	0.10767	0.21366
0.01548	0.00083	0.11898	0.21762
0.01576	0.00074	0.11055	0.22157
0.01604	0.00066	0.10460	0.22553
0.01632	0.00062	0.10002	0.22949
0.01660	0.00062	0.09956	0.23344
0.01688	0.00057	0.09473	0.23740
0.01717	0.00053	0.09058	0.24136
0.01745	0.00060	0.09608	0.24531
0.01773	0.00061	0.09600	0.24927
0.01801	0.00050	0.08655	0.25323
0.01829	0.00049	0.08467	0.25718
0.01857	0.00048	0.08331	0.26114
0.01885	0.00047	0.08223	0.26510
0.01914	0.00048	0.08273	0.26905
0.01942	0.00045	0.07948	0.27301
0.01970	0.00048	0.08115	0.27697
0.01998	0.00045	0.07824	0.28092
0.02026	0.00044	0.07687	0.28488
0.02054	0.00046	0.07877	0.28884
0.02082	0.00044	0.07635	0.29279
0.02111	0.00043	0.07460	0.29675
0.02139	0.00044	0.07555	0.30071
0.02167	0.00032	0.06389	0.30466
0.02195	0.00036	0.06726	0.30862
0.02223	0.00036	0.06703	0.31258
0.02251	0.00030	0.06074	0.31653
0.02279	0.00032	0.06256	0.32049
