q(A-1)	I(q)20230413_0_00017.edf{0}_circles_22_division_ExposureTime	Sig(q)20230413_0_00017.edf{0}_circles_22	2Theta(degrees)
0.04474	0.00062	0.06447	0.62909
0.04502	0.00057	0.06150	0.63305
0.04530	0.00060	0.06287	0.63701
0.04559	0.00056	0.06082	0.64096
0.04587	0.00060	0.06255	0.64492
0.04615	0.00054	0.05938	0.64887
0.04643	0.00055	0.05977	0.65283
0.04671	0.00052	0.05789	0.65679
0.04699	0.00052	0.05758	0.66074
0.04727	0.00052	0.05749	0.66470
0.04756	0.00046	0.05392	0.66865
0.04784	0.00047	0.05435	0.67261
0.04812	0.00046	0.05388	0.67657
0.04840	0.00043	0.05183	0.68052
0.04868	0.00042	0.05094	0.68448
0.04896	0.00044	0.05172	0.68844
0.04924	0.00040	0.04971	0.69239
0.04953	0.00039	0.04846	0.69635
0.04981	0.00044	0.05142	0.70030
0.05009	0.00041	0.04965	0.70426
0.05037	0.00038	0.04733	0.70822
0.05065	0.00034	0.04514	0.71217
0.05093	0.00033	0.04419	0.71613
0.05121	0.00036	0.04598	0.72008
0.05149	0.00035	0.04513	0.72404
0.05178	0.00035	0.04596	0.72800
0.05206	0.00034	0.04662	0.73195
0.05234	0.00033	0.04654	0.73591
0.05262	0.00032	0.04624	0.73986
0.05290	0.00035	0.04867	0.74382
0.05318	0.00033	0.04748	0.74778
0.05346	0.00030	0.04568	0.75173
0.05375	0.00031	0.04650	0.75569
0.05403	0.00033	0.04821	0.75964
0.05431	0.00037	0.05102	0.76360
0.05459	0.00030	0.04581	0.76756
0.05487	0.00027	0.04394	0.77151
0.05515	0.00026	0.04286	0.77547
0.05543	0.00028	0.04517	0.77942
0.05572	0.00027	0.04456	0.78338
0.05600	0.00027	0.04452	0.78734
0.05628	0.00031	0.04780	0.79129
0.05656	0.00029	0.04625	0.79525
0.05684	0.00029	0.04673	0.79920
0.05712	0.00026	0.04391	0.80316
0.05740	0.00027	0.04511	0.80712
0.05768	0.00027	0.04477	0.81107
0.05797	0.00025	0.04377	0.81503
0.05825	0.00026	0.04469	0.81898
0.05853	0.00025	0.04392	0.82294
0.05881	0.00026	0.04459	0.82690
0.05909	0.00027	0.04499	0.83085
0.05937	0.00027	0.04536	0.83481
0.05965	0.00026	0.04492	0.83876
0.05994	0.00027	0.04546	0.84272
0.06022	0.00023	0.04240	0.84668
0.06050	0.00024	0.04320	0.85063
0.06078	0.00027	0.04621	0.85459
0.06106	0.00025	0.04412	0.85854
0.06134	0.00023	0.04265	0.86250
0.06162	0.00029	0.04746	0.86645
0.06190	0.00032	0.05020	0.87041
0.06219	0.00028	0.04698	0.87437
0.06247	0.00025	0.04478	0.87832
0.06275	0.00024	0.04336	0.88228
0.06303	0.00022	0.04216	0.88623
0.06331	0.00023	0.04302	0.89019
0.06359	0.00024	0.04348	0.89415
0.06387	0.00026	0.04519	0.89810
0.06416	0.00029	0.04796	0.90206
0.06444	0.00028	0.04730	0.90601
0.06472	0.00022	0.04235	0.90997
0.06500	0.00024	0.04372	0.91392
0.06528	0.00025	0.04430	0.91788
0.06556	0.00021	0.04172	0.92184
0.06584	0.00021	0.04114	0.92579
0.06612	0.00020	0.03972	0.92975
0.06641	0.00020	0.04004	0.93370
0.06669	0.00018	0.03801	0.93766
0.06697	0.00023	0.04365	0.94161
0.06725	0.00024	0.04439	0.94557
0.06753	0.00024	0.04385	0.94952
0.06781	0.00021	0.04144	0.95348
0.06809	0.00021	0.04161	0.95744
0.06838	0.00023	0.04398	0.96139
0.06866	0.00023	0.04316	0.96535
0.06894	0.00020	0.04110	0.96930
0.06922	0.00025	0.04501	0.97326
0.06950	0.00023	0.04330	0.97721
0.06978	0.00023	0.04410	0.98117
0.07006	0.00029	0.04897	0.98513
0.07034	0.00026	0.04629	0.98908
0.07063	0.00020	0.04110	0.99304
0.07091	0.00020	0.04087	0.99699
0.07119	0.00025	0.04525	1.00095
0.07147	0.00022	0.04234	1.00490
0.07175	0.00019	0.03977	1.00886
0.07203	0.00017	0.03725	1.01281
0.07231	0.00014	0.03404	1.01677
0.07260	0.00019	0.03948	1.02072
0.07288	0.00023	0.04378	1.02468
0.07316	0.00024	0.04460	1.02864
0.07344	0.00021	0.04144	1.03259
0.07372	0.00022	0.04288	1.03655
0.07400	0.00022	0.04324	1.04050
0.07428	0.00024	0.04467	1.04446
0.07456	0.00022	0.04279	1.04841
0.07485	0.00021	0.04212	1.05237
0.07513	0.00020	0.04124	1.05632
0.07541	0.00021	0.04257	1.06028
0.07569	0.00021	0.04234	1.06423
0.07597	0.00021	0.04167	1.06819
0.07625	0.00019	0.03956	1.07214
0.07653	0.00023	0.04362	1.07610
0.07681	0.00022	0.04313	1.08006
0.07710	0.00021	0.04227	1.08401
0.07738	0.00023	0.04407	1.08797
0.07766	0.00020	0.04166	1.09192
0.07794	0.00020	0.04138	1.09588
0.07822	0.00019	0.03963	1.09983
0.07850	0.00020	0.04166	1.10379
0.07878	0.00019	0.03969	1.10774
0.07906	0.00017	0.03845	1.11170
0.07935	0.00023	0.04377	1.11565
0.07963	0.00021	0.04205	1.11961
0.07991	0.00022	0.04329	1.12356
