q(A-1)	I(q)20230413_0_00006.edf{0}_circles_10_division_ExposureTime	Sig(q)20230413_0_00006.edf{0}_circles_10	2Theta(degrees)
0.00000	nan	nan	0.00000
0.00028	nan	nan	0.00396
0.00056	nan	nan	0.00791
0.00084	nan	nan	0.01187
0.00113	nan	nan	0.01583
0.00141	nan	nan	0.01978
0.00169	nan	nan	0.02374
0.00197	nan	nan	0.02770
0.00225	nan	nan	0.03165
0.00253	nan	nan	0.03561
0.00281	nan	nan	0.03957
0.00310	nan	nan	0.04352
0.00338	nan	nan	0.04748
0.00366	nan	nan	0.05144
0.00394	nan	nan	0.05539
0.00422	nan	nan	0.05935
0.00450	nan	nan	0.06331
0.00478	nan	nan	0.06726
0.00507	nan	nan	0.07122
0.00535	nan	nan	0.07518
0.00563	nan	nan	0.07913
0.00591	nan	nan	0.08309
0.00619	0.59402	0.68887	0.08705
0.00647	0.71157	0.28940	0.09100
0.00675	1.17866	0.27731	0.09496
0.00704	1.04904	0.19596	0.09892
0.00732	1.11650	0.16530	0.10287
0.00760	1.08548	0.14799	0.10683
0.00788	0.69512	0.11706	0.11079
0.00816	0.72266	0.11668	0.11474
0.00844	0.64773	0.10974	0.11870
0.00872	0.67917	0.11029	0.12266
0.00901	0.66982	0.10781	0.12661
0.00929	0.72388	0.11122	0.13057
0.00957	0.54701	0.09480	0.13453
0.00985	0.38427	0.07896	0.13848
0.01013	0.63949	0.09997	0.14244
0.01041	0.58697	0.09490	0.14640
0.01069	0.41339	0.07890	0.15035
0.01097	0.39773	0.07607	0.15431
0.01126	0.44699	0.08024	0.15827
0.01154	0.45185	0.07917	0.16222
0.01182	0.41655	0.07567	0.16618
0.01210	0.38938	0.07235	0.17014
0.01238	0.37302	0.06979	0.17409
0.01266	0.30490	0.06278	0.17805
0.01294	0.27112	0.05829	0.18201
0.01323	0.34993	0.06596	0.18597
0.01351	0.33655	0.06381	0.18992
0.01379	0.28390	0.05805	0.19388
0.01407	0.28390	0.05771	0.19784
0.01435	0.25805	0.05430	0.20179
0.01463	0.28853	0.05718	0.20575
0.01491	0.27449	0.05496	0.20971
0.01520	0.22870	0.04993	0.21366
0.01548	0.22910	0.04958	0.21762
0.01576	0.23857	0.05003	0.22157
0.01604	0.22095	0.04791	0.22553
0.01632	0.20736	0.04582	0.22949
0.01660	0.13563	0.03696	0.23344
0.01688	0.22037	0.04663	0.23740
0.01717	0.21981	0.04620	0.24136
0.01745	0.20139	0.04396	0.24531
0.01773	0.20981	0.04439	0.24927
0.01801	0.19408	0.04261	0.25323
0.01829	0.20369	0.04308	0.25718
0.01857	0.14598	0.03632	0.26114
0.01885	0.21129	0.04342	0.26510
0.01914	0.19610	0.04144	0.26905
0.01942	0.23073	0.04483	0.27301
0.01970	0.14989	0.03566	0.27697
0.01998	0.16739	0.03764	0.28092
0.02026	0.13854	0.03397	0.28488
0.02054	0.15349	0.03547	0.28884
0.02082	0.17019	0.03724	0.29279
0.02111	0.18974	0.03883	0.29675
0.02139	0.19620	0.03952	0.30071
0.02167	0.17306	0.03673	0.30466
0.02195	0.18219	0.03747	0.30862
0.02223	0.14451	0.03325	0.31258
0.02251	0.10790	0.02844	0.31653
0.02279	0.14859	0.03338	0.32049
0.02308	0.18694	0.03699	0.32445
