q(A-1)	I(q)20230413_0_00024.edf{0}_circles_26_division_ExposureTime	Sig(q)20230413_0_00024.edf{0}_circles_26	2Theta(degrees)
0.00000	nan	nan	0.00000
0.00028	nan	nan	0.00396
0.00056	nan	nan	0.00791
0.00084	nan	nan	0.01187
0.00113	nan	nan	0.01583
0.00141	nan	nan	0.01978
0.00169	nan	nan	0.02374
0.00197	nan	nan	0.02770
0.00225	nan	nan	0.03165
0.00253	nan	nan	0.03561
0.00281	nan	nan	0.03957
0.00310	nan	nan	0.04352
0.00338	nan	nan	0.04748
0.00366	nan	nan	0.05144
0.00394	nan	nan	0.05539
0.00422	0.05778	21.76694	0.05935
0.00450	0.05494	3.38578	0.06331
0.00478	0.05313	1.85170	0.06726
0.00507	0.05264	1.50153	0.07122
0.00535	0.04813	1.38610	0.07518
0.00563	0.04304	1.27499	0.07913
0.00591	0.04082	1.21008	0.08309
0.00619	0.03748	1.12338	0.08705
0.00647	0.03482	1.06307	0.09100
0.00675	0.03322	1.00985	0.09496
0.00704	0.03193	0.97935	0.09892
0.00732	0.03067	0.95111	0.10287
0.00760	0.02876	0.90510	0.10683
0.00788	0.02792	0.88521	0.11079
0.00816	0.02653	0.84805	0.11474
0.00844	0.02609	0.83585	0.11870
0.00872	0.02528	0.81201	0.12266
0.00901	0.02494	0.79490	0.12661
0.00929	0.02406	0.77718	0.13057
0.00957	0.02320	0.75033	0.13453
0.00985	0.02296	0.74383	0.13848
0.01013	0.02203	0.71730	0.14244
0.01041	0.02215	0.71226	0.14640
0.01069	0.02202	0.70600	0.15035
0.01097	0.02150	0.68731	0.15431
0.01126	0.02073	0.67242	0.15827
0.01154	0.01980	0.64704	0.16222
0.01182	0.01978	0.64333	0.16618
0.01210	0.01925	0.62979	0.17014
0.01238	0.01893	0.61601	0.17409
0.01266	0.01862	0.60862	0.17805
0.01294	0.01860	0.60020	0.18201
0.01323	0.01787	0.58627	0.18597
0.01351	0.01788	0.58111	0.18992
0.01379	0.01744	0.56669	0.19388
0.01407	0.01673	0.55390	0.19784
0.01435	0.01667	0.54588	0.20179
0.01463	0.01596	0.53268	0.20575
0.01491	0.01558	0.51991	0.20971
0.01520	0.01563	0.51738	0.21366
0.01548	0.01511	0.50656	0.21762
0.01576	0.01508	0.50009	0.22157
0.01604	0.01460	0.49051	0.22553
0.01632	0.01389	0.47288	0.22949
0.01660	0.01367	0.46762	0.23344
0.01688	0.01370	0.46523	0.23740
0.01717	0.01370	0.46066	0.24136
0.01745	0.01320	0.45006	0.24531
0.01773	0.01271	0.43749	0.24927
0.01801	0.01257	0.43397	0.25323
0.01829	0.01235	0.42660	0.25718
0.01857	0.01195	0.41631	0.26114
0.01885	0.01122	0.40196	0.26510
0.01914	0.01132	0.40005	0.26905
0.01942	0.01141	0.40084	0.27301
0.01970	0.01068	0.38346	0.27697
0.01998	0.01070	0.38278	0.28092
0.02026	0.01058	0.37864	0.28488
0.02054	0.00986	0.36279	0.28884
0.02082	0.00992	0.36254	0.29279
0.02111	0.00971	0.35482	0.29675
0.02139	0.00945	0.35003	0.30071
0.02167	0.00923	0.34326	0.30466
0.02195	0.00888	0.33466	0.30862
0.02223	0.00852	0.32672	0.31258
0.02251	0.00843	0.32175	0.31653
0.02279	0.00835	0.32030	0.32049
