q(A-1)	I(q)20230413_0_00023.edf{0}_circles_19_division_ExposureTime	Sig(q)20230413_0_00023.edf{0}_circles_19	2Theta(degrees)
0.00000	nan	nan	0.00000
0.00028	nan	nan	0.00396
0.00056	nan	nan	0.00791
0.00084	nan	nan	0.01187
0.00113	nan	nan	0.01583
0.00141	nan	nan	0.01978
0.00169	nan	nan	0.02374
0.00197	nan	nan	0.02770
0.00225	nan	nan	0.03165
0.00253	nan	nan	0.03561
0.00281	nan	nan	0.03957
0.00310	nan	nan	0.04352
0.00338	nan	nan	0.04748
0.00366	nan	nan	0.05144
0.00394	nan	nan	0.05539
0.00422	0.02417	14.07749	0.05935
0.00450	0.02257	2.17005	0.06331
0.00478	0.02057	1.15213	0.06726
0.00507	0.01779	0.87279	0.07122
0.00535	0.01498	0.77329	0.07518
0.00563	0.01195	0.67182	0.07913
0.00591	0.01047	0.61275	0.08309
0.00619	0.00966	0.57047	0.08705
0.00647	0.00790	0.50636	0.09100
0.00675	0.00673	0.45443	0.09496
0.00704	0.00612	0.42867	0.09892
0.00732	0.00522	0.39246	0.10287
0.00760	0.00447	0.35674	0.10683
0.00788	0.00387	0.32976	0.11079
0.00816	0.00372	0.31775	0.11474
0.00844	0.00339	0.30121	0.11870
0.00872	0.00279	0.26997	0.12266
0.00901	0.00270	0.26150	0.12661
0.00929	0.00248	0.24944	0.13057
0.00957	0.00218	0.22980	0.13453
0.00985	0.00203	0.22125	0.13848
0.01013	0.00179	0.20425	0.14244
0.01041	0.00165	0.19458	0.14640
0.01069	0.00156	0.18761	0.15035
0.01097	0.00142	0.17684	0.15431
0.01126	0.00143	0.17638	0.15827
0.01154	0.00120	0.15914	0.16222
0.01182	0.00116	0.15610	0.16618
0.01210	0.00095	0.14006	0.17014
0.01238	0.00108	0.14695	0.17409
0.01266	0.00095	0.13756	0.17805
0.01294	0.00091	0.13288	0.18201
0.01323	0.00084	0.12701	0.18597
0.01351	0.00078	0.12108	0.18992
0.01379	0.00073	0.11585	0.19388
0.01407	0.00066	0.10989	0.19784
0.01435	0.00070	0.11204	0.20179
0.01463	0.00064	0.10703	0.20575
0.01491	0.00057	0.09914	0.20971
0.01520	0.00058	0.09994	0.21366
0.01548	0.00059	0.10043	0.21762
0.01576	0.00054	0.09495	0.22157
0.01604	0.00057	0.09721	0.22553
0.01632	0.00047	0.08741	0.22949
0.01660	0.00040	0.07977	0.23344
0.01688	0.00038	0.07789	0.23740
0.01717	0.00042	0.08087	0.24136
0.01745	0.00045	0.08274	0.24531
0.01773	0.00043	0.08026	0.24927
0.01801	0.00037	0.07415	0.25323
0.01829	0.00036	0.07284	0.25718
0.01857	0.00034	0.06996	0.26114
0.01885	0.00031	0.06724	0.26510
0.01914	0.00037	0.07253	0.26905
0.01942	0.00034	0.06912	0.27301
0.01970	0.00037	0.07100	0.27697
0.01998	0.00033	0.06726	0.28092
0.02026	0.00027	0.06052	0.28488
0.02054	0.00025	0.05811	0.28884
0.02082	0.00028	0.06076	0.29279
0.02111	0.00026	0.05808	0.29675
0.02139	0.00027	0.05950	0.30071
0.02167	0.00028	0.05976	0.30466
0.02195	0.00023	0.05388	0.30862
0.02223	0.00026	0.05659	0.31258
0.02251	0.00022	0.05179	0.31653
0.02279	0.00023	0.05286	0.32049
