q(A-1)	I(q)20230413_0_00011.edf{0}_circles_5_division_ExposureTime	Sig(q)20230413_0_00011.edf{0}_circles_5	2Theta(degrees)
0.00000	nan	nan	0.00000
0.00028	nan	nan	0.00396
0.00056	nan	nan	0.00791
0.00084	nan	nan	0.01187
0.00113	nan	nan	0.01583
0.00141	nan	nan	0.01978
0.00169	nan	nan	0.02374
0.00197	nan	nan	0.02770
0.00225	nan	nan	0.03165
0.00253	nan	nan	0.03561
0.00281	nan	nan	0.03957
0.00310	nan	nan	0.04352
0.00338	nan	nan	0.04748
0.00366	nan	nan	0.05144
0.00394	nan	nan	0.05539
0.00422	0.02611	14.63287	0.05935
0.00450	0.02150	2.11816	0.06331
0.00478	0.01961	1.12489	0.06726
0.00507	0.01759	0.86803	0.07122
0.00535	0.01480	0.76857	0.07518
0.00563	0.01214	0.67714	0.07913
0.00591	0.01043	0.61169	0.08309
0.00619	0.00887	0.54652	0.08705
0.00647	0.00738	0.48945	0.09100
0.00675	0.00656	0.44884	0.09496
0.00704	0.00527	0.39790	0.09892
0.00732	0.00496	0.38237	0.10287
0.00760	0.00438	0.35340	0.10683
0.00788	0.00374	0.32402	0.11079
0.00816	0.00365	0.31474	0.11474
0.00844	0.00322	0.29379	0.11870
0.00872	0.00268	0.26420	0.12266
0.00901	0.00247	0.24997	0.12661
0.00929	0.00229	0.23973	0.13057
0.00957	0.00220	0.23081	0.13453
0.00985	0.00207	0.22319	0.13848
0.01013	0.00189	0.21014	0.14244
0.01041	0.00155	0.18848	0.14640
0.01069	0.00148	0.18317	0.15035
0.01097	0.00136	0.17286	0.15431
0.01126	0.00117	0.15989	0.15827
0.01154	0.00119	0.15836	0.16222
0.01182	0.00114	0.15433	0.16618
0.01210	0.00100	0.14368	0.17014
0.01238	0.00086	0.13148	0.17409
0.01266	0.00079	0.12569	0.17805
0.01294	0.00085	0.12860	0.18201
0.01323	0.00083	0.12656	0.18597
0.01351	0.00072	0.11649	0.18992
0.01379	0.00060	0.10534	0.19388
0.01407	0.00067	0.11099	0.19784
0.01435	0.00067	0.10915	0.20179
0.01463	0.00064	0.10651	0.20575
0.01491	0.00057	0.09967	0.20971
0.01520	0.00055	0.09666	0.21366
0.01548	0.00050	0.09194	0.21762
0.01576	0.00051	0.09191	0.22157
0.01604	0.00052	0.09242	0.22553
0.01632	0.00047	0.08709	0.22949
0.01660	0.00044	0.08345	0.23344
0.01688	0.00041	0.08006	0.23740
0.01717	0.00039	0.07725	0.24136
0.01745	0.00039	0.07695	0.24531
0.01773	0.00035	0.07227	0.24927
0.01801	0.00040	0.07759	0.25323
0.01829	0.00037	0.07433	0.25718
0.01857	0.00037	0.07314	0.26114
0.01885	0.00037	0.07311	0.26510
0.01914	0.00040	0.07554	0.26905
0.01942	0.00030	0.06495	0.27301
0.01970	0.00029	0.06298	0.27697
0.01998	0.00029	0.06345	0.28092
0.02026	0.00031	0.06470	0.28488
0.02054	0.00029	0.06170	0.28884
0.02082	0.00031	0.06406	0.29279
0.02111	0.00030	0.06198	0.29675
0.02139	0.00027	0.05883	0.30071
0.02167	0.00027	0.05844	0.30466
0.02195	0.00027	0.05782	0.30862
0.02223	0.00030	0.06118	0.31258
0.02251	0.00025	0.05520	0.31653
0.02279	0.00025	0.05555	0.32049
