q(A-1)	I(q)20230413_0_00027.edf{0}_circles_17_division_ExposureTime	Sig(q)20230413_0_00027.edf{0}_circles_17	2Theta(degrees)
0.00000	nan	nan	0.00000
0.00028	nan	nan	0.00396
0.00056	nan	nan	0.00791
0.00084	nan	nan	0.01187
0.00113	nan	nan	0.01583
0.00141	nan	nan	0.01978
0.00169	nan	nan	0.02374
0.00197	nan	nan	0.02770
0.00225	nan	nan	0.03165
0.00253	nan	nan	0.03561
0.00281	nan	nan	0.03957
0.00310	nan	nan	0.04352
0.00338	nan	nan	0.04748
0.00366	nan	nan	0.05144
0.00394	nan	nan	0.05539
0.00422	1.89167	50.84679	0.05935
0.00450	1.67121	7.62383	0.06331
0.00478	1.41278	3.89832	0.06726
0.00507	1.18548	2.90898	0.07122
0.00535	0.97278	2.54396	0.07518
0.00563	0.79435	2.23604	0.07913
0.00591	0.66463	1.99344	0.08309
0.00619	0.55035	1.75749	0.08705
0.00647	0.46022	1.57784	0.09100
0.00675	0.39193	1.41599	0.09496
0.00704	0.34404	1.31230	0.09892
0.00732	0.29055	1.19504	0.10287
0.00760	0.24720	1.08334	0.10683
0.00788	0.22182	1.01859	0.11079
0.00816	0.19602	0.94114	0.11474
0.00844	0.17254	0.87749	0.11870
0.00872	0.15098	0.81011	0.12266
0.00901	0.13571	0.75701	0.12661
0.00929	0.12136	0.71261	0.13057
0.00957	0.10582	0.65416	0.13453
0.00985	0.09365	0.61326	0.13848
0.01013	0.08608	0.57882	0.14244
0.01041	0.07806	0.54581	0.14640
0.01069	0.07040	0.51532	0.15035
0.01097	0.06505	0.48808	0.15431
0.01126	0.06009	0.46734	0.15827
0.01154	0.05473	0.43914	0.16222
0.01182	0.05066	0.42034	0.16618
0.01210	0.04807	0.40629	0.17014
0.01238	0.04154	0.37258	0.17409
0.01266	0.03840	0.35680	0.17805
0.01294	0.03682	0.34475	0.18201
0.01323	0.03282	0.32436	0.18597
0.01351	0.03165	0.31564	0.18992
0.01379	0.02767	0.29145	0.19388
0.01407	0.02638	0.28395	0.19784
0.01435	0.02371	0.26576	0.20179
0.01463	0.02226	0.25683	0.20575
0.01491	0.02207	0.25259	0.20971
0.01520	0.02047	0.24172	0.21366
0.01548	0.01810	0.22637	0.21762
0.01576	0.01709	0.21732	0.22157
0.01604	0.01527	0.20478	0.22553
0.01632	0.01470	0.19860	0.22949
0.01660	0.01466	0.19765	0.23344
0.01688	0.01353	0.18876	0.23740
0.01717	0.01304	0.18349	0.24136
0.01745	0.01202	0.17532	0.24531
0.01773	0.01174	0.17161	0.24927
0.01801	0.01059	0.16266	0.25323
0.01829	0.00944	0.15227	0.25718
0.01857	0.00939	0.15069	0.26114
0.01885	0.00961	0.15192	0.26510
0.01914	0.00895	0.14527	0.26905
0.01942	0.00827	0.13934	0.27301
0.01970	0.00841	0.13891	0.27697
0.01998	0.00772	0.13270	0.28092
0.02026	0.00698	0.12551	0.28488
0.02054	0.00679	0.12291	0.28884
0.02082	0.00669	0.12156	0.29279
0.02111	0.00647	0.11827	0.29675
0.02139	0.00640	0.11763	0.30071
0.02167	0.00585	0.11153	0.30466
0.02195	0.00561	0.10860	0.30862
0.02223	0.00485	0.10055	0.31258
0.02251	0.00534	0.10460	0.31653
0.02279	0.00517	0.10290	0.32049
