q(A-1)	I(q)20230413_0_00020.edf{0}_circles_29_division_ExposureTime	Sig(q)20230413_0_00020.edf{0}_circles_29	2Theta(degrees)
0.00000	nan	nan	0.00000
0.00028	nan	nan	0.00396
0.00056	nan	nan	0.00791
0.00084	nan	nan	0.01187
0.00113	nan	nan	0.01583
0.00141	nan	nan	0.01978
0.00169	nan	nan	0.02374
0.00197	nan	nan	0.02770
0.00225	nan	nan	0.03165
0.00253	nan	nan	0.03561
0.00281	nan	nan	0.03957
0.00310	nan	nan	0.04352
0.00338	nan	nan	0.04748
0.00366	nan	nan	0.05144
0.00394	nan	nan	0.05539
0.00422	0.03111	15.97256	0.05935
0.00450	0.02889	2.45513	0.06331
0.00478	0.02708	1.32204	0.06726
0.00507	0.02479	1.03048	0.07122
0.00535	0.02038	0.90187	0.07518
0.00563	0.01581	0.77273	0.07913
0.00591	0.01373	0.70190	0.08309
0.00619	0.01187	0.63211	0.08705
0.00647	0.01019	0.57501	0.09100
0.00675	0.00907	0.52750	0.09496
0.00704	0.00785	0.48557	0.09892
0.00732	0.00669	0.44422	0.10287
0.00760	0.00567	0.40178	0.10683
0.00788	0.00463	0.36028	0.11079
0.00816	0.00407	0.33218	0.11474
0.00844	0.00384	0.32064	0.11870
0.00872	0.00367	0.30947	0.12266
0.00901	0.00320	0.28463	0.12661
0.00929	0.00295	0.27199	0.13057
0.00957	0.00278	0.25958	0.13453
0.00985	0.00232	0.23626	0.13848
0.01013	0.00230	0.23190	0.14244
0.01041	0.00228	0.22834	0.14640
0.01069	0.00199	0.21201	0.15035
0.01097	0.00181	0.19945	0.15431
0.01126	0.00166	0.19039	0.15827
0.01154	0.00159	0.18336	0.16222
0.01182	0.00140	0.17104	0.16618
0.01210	0.00127	0.16203	0.17014
0.01238	0.00118	0.15395	0.17409
0.01266	0.00118	0.15347	0.17805
0.01294	0.00111	0.14648	0.18201
0.01323	0.00105	0.14202	0.18597
0.01351	0.00108	0.14261	0.18992
0.01379	0.00103	0.13784	0.19388
0.01407	0.00095	0.13206	0.19784
0.01435	0.00086	0.12381	0.20179
0.01463	0.00088	0.12497	0.20575
0.01491	0.00081	0.11876	0.20971
0.01520	0.00084	0.11984	0.21366
0.01548	0.00075	0.11318	0.21762
0.01576	0.00074	0.11058	0.22157
0.01604	0.00064	0.10242	0.22553
0.01632	0.00060	0.09788	0.22949
0.01660	0.00059	0.09712	0.23344
0.01688	0.00054	0.09243	0.23740
0.01717	0.00057	0.09417	0.24136
0.01745	0.00048	0.08621	0.24531
0.01773	0.00051	0.08731	0.24927
0.01801	0.00053	0.08900	0.25323
0.01829	0.00048	0.08410	0.25718
0.01857	0.00049	0.08423	0.26114
0.01885	0.00050	0.08527	0.26510
0.01914	0.00046	0.08052	0.26905
0.01942	0.00044	0.07884	0.27301
0.01970	0.00041	0.07532	0.27697
0.01998	0.00041	0.07520	0.28092
0.02026	0.00041	0.07423	0.28488
0.02054	0.00037	0.07025	0.28884
0.02082	0.00037	0.06967	0.29279
0.02111	0.00040	0.07195	0.29675
0.02139	0.00041	0.07298	0.30071
0.02167	0.00041	0.07236	0.30466
0.02195	0.00038	0.06912	0.30862
0.02223	0.00035	0.06651	0.31258
0.02251	0.00037	0.06776	0.31653
0.02279	0.00037	0.06776	0.32049
