q(A-1)	I(q)20230413_0_00007.edf{0}_circles_9_division_ExposureTime	Sig(q)20230413_0_00007.edf{0}_circles_9	2Theta(degrees)
0.00000	nan	nan	0.00000
0.00028	nan	nan	0.00396
0.00056	nan	nan	0.00791
0.00084	nan	nan	0.01187
0.00113	nan	nan	0.01583
0.00141	nan	nan	0.01978
0.00169	nan	nan	0.02374
0.00197	nan	nan	0.02770
0.00225	nan	nan	0.03165
0.00253	nan	nan	0.03561
0.00281	nan	nan	0.03957
0.00310	nan	nan	0.04352
0.00338	nan	nan	0.04748
0.00366	nan	nan	0.05144
0.00394	nan	nan	0.05539
0.00422	nan	nan	0.05935
0.00450	nan	nan	0.06331
0.00478	nan	nan	0.06726
0.00507	nan	nan	0.07122
0.00535	nan	nan	0.07518
0.00563	nan	nan	0.07913
0.00591	nan	nan	0.08309
0.00619	0.00000	0.00000	0.08705
0.00647	0.32815	0.19653	0.09100
0.00675	0.21471	0.11836	0.09496
0.00704	0.24000	0.09373	0.09892
0.00732	0.18456	0.06721	0.10287
0.00760	0.17815	0.05995	0.10683
0.00788	0.19403	0.06185	0.11079
0.00816	0.23196	0.06611	0.11474
0.00844	0.15784	0.05417	0.11870
0.00872	0.09843	0.04199	0.12266
0.00901	0.10695	0.04308	0.12661
0.00929	0.17236	0.05427	0.13057
0.00957	0.14302	0.04848	0.13453
0.00985	0.07704	0.03535	0.13848
0.01013	0.11287	0.04200	0.14244
0.01041	0.05706	0.02959	0.14640
0.01069	0.04469	0.02594	0.15035
0.01097	0.06374	0.03045	0.15431
0.01126	0.05859	0.02905	0.15827
0.01154	0.09304	0.03593	0.16222
0.01182	0.11584	0.03991	0.16618
0.01210	0.06039	0.02849	0.17014
0.01238	0.08622	0.03355	0.17409
0.01266	0.06899	0.02986	0.17805
0.01294	0.04144	0.02279	0.18201
0.01323	0.02031	0.01589	0.18597
0.01351	0.04469	0.02325	0.18992
0.01379	0.03015	0.01892	0.19388
0.01407	0.01628	0.01382	0.19784
0.01435	0.05387	0.02481	0.20179
0.01463	0.03306	0.01935	0.20575
0.01491	0.04907	0.02324	0.20971
0.01520	0.04147	0.02126	0.21366
0.01548	0.04114	0.02101	0.21762
0.01576	0.04321	0.02129	0.22157
0.01604	0.01932	0.01417	0.22553
0.01632	0.04829	0.02211	0.22949
0.01660	0.05449	0.02343	0.23344
0.01688	0.02296	0.01505	0.23740
0.01717	0.02381	0.01521	0.24136
0.01745	0.00371	0.00596	0.24531
0.01773	0.03862	0.01904	0.24927
0.01801	0.02309	0.01470	0.25323
0.01829	0.04952	0.02124	0.25718
0.01857	0.03811	0.01856	0.26114
0.01885	0.02882	0.01604	0.26510
0.01914	0.00899	0.00887	0.26905
0.01942	0.03385	0.01717	0.27301
0.01970	0.02881	0.01563	0.27697
0.01998	0.01991	0.01298	0.28092
0.02026	0.01496	0.01116	0.28488
0.02054	0.02852	0.01529	0.28884
0.02082	0.03967	0.01798	0.29279
0.02111	0.02675	0.01458	0.29675
0.02139	0.02054	0.01279	0.30071
0.02167	0.01984	0.01244	0.30466
0.02195	0.01027	0.00889	0.30862
0.02223	0.01661	0.01127	0.31258
0.02251	0.01870	0.01184	0.31653
0.02279	0.02039	0.01236	0.32049
0.02308	0.01566	0.01071	0.32445
